Epoch: [0][660/3706], lr: 0.00100	Time 0.695 (0.688)	Data 0.000 (0.015)	Loss 2.0437 (2.6132)	Prec@1 43.750 (25.132)	Prec@5 84.375 (56.458)
Epoch: [0][680/3706], lr: 0.00100	Time 0.704 (0.687)	Data 0.001 (0.014)	Loss 2.2122 (2.5963)	Prec@1 34.375 (25.578)	Prec@5 78.125 (56.989)
Epoch: [0][700/3706], lr: 0.00100	Time 0.709 (0.686)	Data 0.000 (0.014)	Loss 2.0278 (2.5813)	Prec@1 46.875 (25.994)	Prec@5 78.125 (57.463)
Epoch: [0][720/3706], lr: 0.00100	Time 0.708 (0.685)	Data 0.000 (0.014)	Loss 2.3687 (2.5670)	Prec@1 34.375 (26.391)	Prec@5 65.625 (57.888)
Epoch: [0][740/3706], lr: 0.00100	Time 0.609 (0.685)	Data 0.000 (0.013)	Loss 1.9403 (2.5507)	Prec@1 37.500 (26.775)	Prec@5 78.125 (58.363)
Epoch: [0][760/3706], lr: 0.00100	Time 0.611 (0.684)	Data 0.000 (0.013)	Loss 1.7715 (2.5344)	Prec@1 40.625 (27.201)	Prec@5 87.500 (58.874)
Epoch: [0][780/3706], lr: 0.00100	Time 0.654 (0.683)	Data 0.000 (0.013)	Loss 1.8102 (2.5209)	Prec@1 50.000 (27.593)	Prec@5 84.375 (59.315)
Epoch: [0][800/3706], lr: 0.00100	Time 0.710 (0.683)	Data 0.000 (0.012)	Loss 1.4529 (2.5068)	Prec@1 59.375 (27.946)	Prec@5 87.500 (59.757)
Epoch: [0][820/3706], lr: 0.00100	Time 0.647 (0.682)	Data 0.000 (0.012)	Loss 2.1507 (2.4934)	Prec@1 46.875 (28.281)	Prec@5 68.750 (60.193)
Epoch: [0][840/3706], lr: 0.00100	Time 0.706 (0.681)	Data 0.000 (0.012)	Loss 1.7313 (2.4797)	Prec@1 53.125 (28.712)	Prec@5 84.375 (60.650)
Epoch: [0][860/3706], lr: 0.00100	Time 0.653 (0.681)	Data 0.000 (0.011)	Loss 1.7418 (2.4669)	Prec@1 59.375 (29.043)	Prec@5 90.625 (61.045)
Epoch: [0][880/3706], lr: 0.00100	Time 0.605 (0.680)	Data 0.000 (0.011)	Loss 1.6810 (2.4516)	Prec@1 43.750 (29.455)	Prec@5 84.375 (61.422)
Epoch: [0][900/3706], lr: 0.00100	Time 0.650 (0.679)	Data 0.000 (0.011)	Loss 1.6782 (2.4411)	Prec@1 40.625 (29.762)	Prec@5 96.875 (61.768)
Epoch: [0][920/3706], lr: 0.00100	Time 0.607 (0.679)	Data 0.000 (0.011)	Loss 2.0094 (2.4286)	Prec@1 50.000 (30.093)	Prec@5 75.000 (62.137)
Epoch: [0][940/3706], lr: 0.00100	Time 0.611 (0.678)	Data 0.000 (0.010)	Loss 1.8110 (2.4153)	Prec@1 59.375 (30.443)	Prec@5 84.375 (62.553)
Epoch: [0][960/3706], lr: 0.00100	Time 0.608 (0.678)	Data 0.000 (0.010)	Loss 2.1021 (2.4038)	Prec@1 53.125 (30.762)	Prec@5 59.375 (62.835)
Epoch: [0][980/3706], lr: 0.00100	Time 0.605 (0.677)	Data 0.000 (0.010)	Loss 2.1193 (2.3938)	Prec@1 40.625 (31.072)	Prec@5 87.500 (63.115)
Epoch: [0][1000/3706], lr: 0.00100	Time 0.606 (0.677)	Data 0.000 (0.010)	Loss 2.0151 (2.3831)	Prec@1 43.750 (31.341)	Prec@5 81.250 (63.396)
